timestamp,amplitude,pattern_id,flame_detected,motion_detected,sound_type
2023-01-01T12:15:00Z,825.45,3,0,1,glass_break
2023-01-01T12:25:00Z,872.78,4,0,1,glass_break
2023-01-01T12:35:00Z,798.92,3,0,1,glass_break
2023-01-01T12:45:00Z,852.15,4,0,0,glass_break
2023-01-01T12:55:00Z,836.33,3,0,1,glass_break
2023-01-01T13:05:00Z,789.67,4,0,1,glass_break
2023-01-01T13:15:00Z,821.89,3,0,1,glass_break
2023-01-01T13:25:00Z,848.45,4,0,1,glass_break
2023-01-01T13:35:00Z,807.12,3,0,0,glass_break
2023-01-01T13:45:00Z,855.78,4,0,1,glass_break
