timestamp,amplitude,pattern_id,flame_detected,motion_detected,sound_type
2023-01-01T18:15:00Z,725.45,9,0,1,dog_bark
2023-01-01T18:25:00Z,692.78,10,0,1,dog_bark
2023-01-01T18:35:00Z,718.92,9,0,0,dog_bark
2023-01-01T18:45:00Z,702.15,10,0,1,dog_bark
2023-01-01T18:55:00Z,736.33,9,0,1,dog_bark
2023-01-01T19:05:00Z,689.67,10,0,1,dog_bark
2023-01-01T19:15:00Z,721.89,9,0,0,dog_bark
2023-01-01T19:25:00Z,698.45,10,0,1,dog_bark
2023-01-01T19:35:00Z,727.12,9,0,1,dog_bark
2023-01-01T19:45:00Z,705.78,10,0,1,dog_bark
